candidate_id,rank,score,reasoning
CAND_0006567,1,0.993522,"Currently Senior AI Engineer at Meta (7.9 yrs exp). Career descriptions reference a/b test, ranking — direct signal for this role. Declared advanced skills: scikit-learn, Search Backend, Model Adaptation, Vector Representations. Verified assessment: scikit-learn scored 90/100 on platform. Located in Noida, Uttar Pradesh — within preferred geography. Candidate has active open-to-work signal. Long notice period (60d) may be a logistical blocker."
CAND_0066999,2,0.98824,"5.9-year career, most recently as Recommendation Systems Engineer at Microsoft. Explicit mentions of ranking in work history align with JD requirements. Skill profile highlights Image Classification, OpenSearch, FAISS, LLMs at advanced or expert level. Platform assessment score for Pinecone: 90/100. Delhi, Delhi location matches target cities. Open-to-work flag is set. 15-day notice period — within buyout window. No strong disqualifiers identified; recommend recruiter screen to verify depth."
CAND_0095619,3,0.985763,"NLP Engineer at Nykaa with 15.6 years of experience. Production evidence for ranking found in career narrative. Advanced-proficiency skills include Feature Engineering, Pinecone, MLflow, Learning to Rank. Skill assessment on record — MLflow: 90. Based in Mumbai, Maharashtra, consistent with role geography. Profile marked open-to-work. Notice period: 30 days, manageable. No strong disqualifiers identified; recommend recruiter screen to verify depth."
CAND_0068351,4,0.982543,"Currently Lead AI Engineer at Sarvam AI (6.4 yrs exp). Career descriptions reference ranking — direct signal for this role. Declared advanced skills: pgvector, Deep Learning, Qdrant, Elasticsearch. Located in Delhi, Delhi — within preferred geography. Open-to-work flag is not set. 0-day notice; fits the sub-30-day preference or buyout ceiling. No strong disqualifiers identified; recommend recruiter screen to verify depth."
CAND_0046525,5,0.980031,"6.1-year career, most recently as Senior Machine Learning Engineer at Genpact AI. Explicit mentions of a/b test, dense retrieval, embedding in work history align with JD requirements. Skill profile highlights Elasticsearch, LangChain, Machine Learning, LlamaIndex at advanced or expert level. Platform assessment score for LangChain: 96/100. Pune, Maharashtra location matches target cities. Open-to-work flag is set. Notice period of 60 days exceeds the 30-day buyout threshold."
CAND_0018499,6,0.976249,"Senior Machine Learning Engineer at Zomato with 7.2 years of experience. Production evidence for dense retrieval, embedding, faiss found in career narrative. Advanced-proficiency skills include Deep Learning, Weaviate, Recommendation Systems, scikit-learn. Skill assessment on record — Deep Learning: 94. Based in Noida, Uttar Pradesh, consistent with role geography. Profile marked open-to-work. Notice period: 15 days, manageable."
CAND_0061257,7,0.973079,"Currently Staff Machine Learning Engineer at LinkedIn (8.0 yrs exp). Career descriptions reference ranking — direct signal for this role. Declared advanced skills: PEFT, Haystack, Time Series, Machine Learning. Verified assessment: Haystack scored 70/100 on platform. Located in Noida, Uttar Pradesh — within preferred geography. Candidate has active open-to-work signal. 30-day notice; fits the sub-30-day preference or buyout ceiling."
CAND_0046064,8,0.971678,"8.9-year career, most recently as Senior NLP Engineer at Salesforce. Explicit mentions of a/b test, dense retrieval, embedding in work history align with JD requirements. Skill profile highlights Python, Image Classification, OpenCV, Pinecone at advanced or expert level. Platform assessment score for Python: 64/100. Coimbatore, Tamil Nadu location is outside target geography. Open-to-work flag is set. 30-day notice period — within buyout window."
CAND_0039754,9,0.969104,"Senior Applied Scientist at Meta with 16.2 years of experience. Production evidence for a/b test, dense retrieval, embedding found in career narrative. Advanced-proficiency skills include Fine-tuning LLMs, LlamaIndex, Qdrant, NLP. Skill assessment on record — Fine-tuning LLMs: 96. Based in Indore, Madhya Pradesh, which is outside the preferred hiring zone. Profile marked open-to-work. Notice period: 30 days, manageable."
CAND_0005538,10,0.966865,"Currently Senior AI Engineer at Adobe (5.9 yrs exp). Career descriptions reference a/b test, embedding, ranking — direct signal for this role. Declared advanced skills: Vector Representations, Deep Learning, Content Matching, Feature Engineering. Verified assessment: Embeddings scored 93/100 on platform. Located in Kolkata, West Bengal — outside preferred India cities; relocation unclear. Candidate has active open-to-work signal. Long notice period (90d) may be a logistical blocker."
